LOCATION,LAT,LON,Rpt Dist No
1100 W  39TH                         PL,34.0141,-118.2978,377
700 S  HILL                         ST,34.0459,-118.2545,163
700 E  73RD                         ST,33.9739,-118.263,1259
5400    CORTEEN                      PL,34.1685,-118.4019,1543
14400    TITUS                        ST,34.2198,-118.4468,1998
700 S  BROADWAY,34.0452,-118.2534,163
700 S  FIGUEROA                     ST,34.0483,-118.2631,161
200 E  6TH                          ST,34.0448,-118.2474,155
700    BERNARD                      ST,34.0677,-118.2398,101
ROSECRANS,33.9019,-118.2916,1871
15TH,34.0359,-118.2648,192
800 N  ALAMEDA                      ST,34.0615,-118.2412,111
800 S  OLIVE                        ST,34.0452,-118.2569,162
700 W  7TH                          ST,34.048,-118.2577,162
100 S  LOS ANGELES                  ST,34.0515,-118.2424,128
MENLO                        AV,33.9144,-118.2894,1851
20900    DEVONSHIRE                   ST,34.2572,-118.5885,1752
PACIFIC COAST,33.7926,-118.3043,511
GLADSTONE,34.299,-118.4153,1907
7TH,34.0463,-118.255,152
TAMPA,34.1866,-118.5535,1033
600    SAN JULIAN                   ST,34.0428,-118.2461,166
16700    LABRADOR                     ST,34.2493,-118.4965,1776
2700    MCCONNELL                    DR,34.0445,-118.4035,886
ALAMEDA,34.0578,-118.2371,111
E,33.7753,-118.2456,529
100    WORLD WAY,33.9451,-118.4029,1494
300 S  FIGUEROA                     ST,34.0542,-118.2566,141
700 N  MAIN                         ST,34.0583,-118.2378,111
17100    COVELLO                      ST,34.2075,-118.5068,1017
500 N  FIGUEROA                     ST,34.0615,-118.247,111
6TH,34.0428,-118.2461,166
8400    BEVERLY                      BL,34.0782,-118.3695,711
11TH                         ST,34.0431,-118.2692,181
6700    TUJUNGA                      AV,34.1946,-118.3835,1516
18TH                         ST,34.0317,-118.2626,195
7TH                          ST,34.0456,-118.254,163
200    WINSTON                      ST,34.0467,-118.247,146
700 S  FLOWER                       ST,34.0487,-118.2588,162
LAKE HOLLYWOOD,34.1322,-118.3384,615
8TH,34.0431,-118.2536,163
3500    KELTON                       AV,34.0221,-118.4166,1438
600 N  AVENUE 64,34.1225,-118.1818,1128
2600 N  BROADWAY,34.0736,-118.2156,422
300 N  EVERGREEN                    AV,34.0436,-118.2051,466
600 S  BERENDO                      ST,34.0608,-118.2941,2036
100 E  24TH                         ST,34.0266,-118.2676,1321
6500    YUCCA                        ST,34.1039,-118.3311,636
5700 S  ST ANDREWS                   PL,33.991,-118.3113,1213
6TH                          ST,34.0463,-118.2515,153
4TH                          ST,34.0503,-118.2504,134
1ST,34.0515,-118.2424,128
700 W  9TH                          ST,34.0458,-118.2614,182
400 S  HILL                         ST,34.0503,-118.2504,143
4400    HOOPER                       AV,33.9994,-118.2543,1364
700    YALE                         ST,34.0612,-118.2417,111
800 W  7TH                          ST,34.0487,-118.2588,162
HILL,34.032,-118.2657,192
ALISO,34.0561,-118.2415,112
500 S  HILL                         ST,34.0488,-118.2518,153
800    FRANCISCO                    ST,34.0487,-118.2627,161
WALL,34.0495,-118.2458,135
LOS ANGELES                  ST,34.0485,-118.2447,135
600 S  SPRING                       ST,34.0467,-118.252,153
600 W  9TH                          ST,34.0462,-118.2585,162
300 E  ANN                          ST,34.0639,-118.2306,118
9TH                          ST,34.0444,-118.2593,182
800 N  BROADWAY,34.0623,-118.2383,111
400 S  SPRING                       ST,34.0488,-118.25,143
400 E  7TH                          ST,34.0421,-118.2469,166
10900    BLUFFSIDE                    DR,34.1414,-118.3686,1585
300 W  5TH                          ST,34.0481,-118.2507,153
1800 S  MAIN                         ST,34.0317,-118.2641,195
600 W  7TH                          ST,34.0473,-118.2566,162
700    ALPINE                       ST,34.0635,-118.2426,111
3200 S  SAN PEDRO                    ST,34.017,-118.2643,1333
100 E  5TH                          ST,34.0467,-118.2485,154
100 S  FIGUEROA                     ST,34.0569,-118.254,131
800 E  4TH                          PL,34.0445,-118.2367,159
1200 E  7TH                          ST,34.0395,-118.2405,158
300 E  3RD                          ST,34.048,-118.2438,138
